,gross,net,turnover
2025-03-14,0.005792924515380364,0.003792924515380364,2.0
2025-03-17,-0.011834577808684193,-0.013579258659748022,1.7446808510638296
2025-03-18,-0.0022769823498241205,-0.004447195115781568,2.170212765957447
2025-03-19,-0.006236937388708379,-0.007981618239772208,1.7446808510638299
2025-03-20,0.007213973508500048,0.005469292657436218,1.7446808510638299
2025-03-21,-0.003438734172340582,-0.005481287363829943,2.0425531914893615
2025-03-24,-0.009951046990612125,-0.01229147252252702,2.3404255319148937
2025-03-25,-0.011592583413693451,-0.013592583413693451,2.0
2025-03-26,-0.00693408810834529,-0.00918940725728146,2.25531914893617
2025-03-27,-0.007221056015584915,-0.009008290058138108,1.7872340425531914
2025-03-28,-0.013361272813895955,-0.015276166430917231,1.9148936170212767
2025-03-31,0.0004178917028029711,-0.0011991295737927734,1.6170212765957446
2025-04-01,0.01902053133427274,0.01719074410023019,1.829787234042553
2025-04-02,-0.09464268719324188,-0.09660013400175252,1.9574468085106382
2025-04-03,-0.016509945999751703,-0.018892924723155957,2.382978723404255
2025-04-04,0.03501722602262855,0.03322999198007536,1.7872340425531914
2025-04-07,-0.021393441328248802,-0.02258493068995093,1.1914893617021276
2025-04-08,0.1229903327221883,0.12150097102006065,1.4893617021276593
2025-04-09,-0.02771310867652535,-0.029883321442482798,2.170212765957447
2025-04-10,0.0013136104550559393,-0.0008140491194121458,2.127659574468085
2025-04-11,0.0023451499028522716,0.0005153626688097184,1.8297872340425532
2025-04-14,0.00524327180972521,0.003328378192703934,1.9148936170212765
2025-04-15,-0.0020472283668300896,-0.003962121983851366,1.9148936170212765
2025-04-16,0.0032947664551605336,0.0014224260296286189,1.8723404255319147
2025-04-17,-0.008567210452809455,-0.010141678537915838,1.5744680851063828
2025-04-21,0.01626455866077796,0.014264558660777958,2.0
2025-04-22,0.026270243314471337,0.024483009271918144,1.7872340425531914
2025-04-23,0.023153107794140405,0.021450980134565936,1.7021276595744679
2025-04-24,0.0010819775207176246,-0.000662703330346205,1.7446808510638296
2025-04-25,0.0021508044483972352,0.0005337831718014907,1.6170212765957446
2025-04-28,-0.003809604173937337,-0.00512875311010755,1.3191489361702127
2025-04-29,-0.007493632301896256,-0.009153206769981362,1.6595744680851063
2025-04-30,0.0061465431504172,0.004699734639778902,1.4468085106382977
2025-05-01,0.011150393246157847,0.009490818778072741,1.6595744680851061
2025-05-02,-0.013055528443649739,-0.014459783762798675,1.4042553191489362
2025-05-05,-0.003539857935739998,-0.004816453680420849,1.2765957446808511
2025-05-06,0.007500260407780049,0.006351324237567283,1.148936170212766
2025-05-07,0.027576478505618573,0.02647009552689517,1.106382978723404
2025-05-08,0.00497021500106054,0.0035234064904222416,1.4468085106382977
2025-05-09,0.038501824155707465,0.03701246245357981,1.4893617021276595
2025-05-12,-0.000646118869128182,-0.00234824652870265,1.7021276595744679
2025-05-13,-0.009983123337696406,-0.011472485039824065,1.4893617021276595
2025-05-14,-0.0009602259998110693,-0.002151715361513197,1.1914893617021276
2025-05-15,0.004637805791138275,0.003148444089010615,1.4893617021276595
2025-05-16,-0.002678754997372805,-0.00404045712503238,1.3617021276595747
2025-05-19,0.001576714458853066,-0.00012541320072140217,1.702127659574468
2025-05-20,-0.01498028646505616,-0.01646964816718382,1.4893617021276595
2025-05-21,0.001973597483308193,0.0004416825896911721,1.531914893617021
2025-05-22,-0.006596641175998772,-0.008468981601530687,1.872340425531915
2025-05-23,0.01513368865237274,0.01338900780130891,1.7446808510638299
2025-05-27,-0.0026396007563155932,-0.0042566220329113376,1.6170212765957446
2025-05-28,0.006702166640799137,0.0052979113216502,1.4042553191489362
2025-05-29,-0.010888162711783847,-0.012717949945826399,1.829787234042553
2025-05-30,-0.00396566440046646,-0.006135877166423907,2.170212765957447
2025-06-02,0.01782366464179544,0.015696005067327354,2.127659574468085
2025-06-03,0.0041617309238682395,0.001991518157910793,2.1702127659574466
2025-06-04,-0.010645962899558225,-0.012603409708068863,1.957446808510638
2025-06-05,0.004057592500875545,0.0022703584583223533,1.7872340425531914
2025-06-06,0.002607513479814131,0.0009479390117290247,1.6595744680851061
2025-06-09,0.005083017458363951,0.0028702515009171427,2.2127659574468086
2025-06-10,0.0051114754980439905,0.003068922306554629,2.0425531914893615
2025-06-11,-0.003674235713217367,-0.005631682521728005,1.9574468085106382
2025-06-12,-0.002386251810171513,-0.004088379469745981,1.702127659574468
2025-06-13,0.0106126634252971,0.008527557042318376,2.085106382978723
2025-06-16,-0.005804063669935938,-0.007761510478446577,1.9574468085106382
2025-06-17,0.0008933906356105582,-0.001276822130346889,2.170212765957447
2025-06-18,0.0017036835596762948,-4.099729138753484e-05,1.7446808510638296
2025-06-20,-0.0026548523889319536,-0.004654852388931954,1.9999999999999998
2025-06-23,0.0006632391620982201,-0.0012942076464124183,1.9574468085106385
2025-06-24,-0.00982532061344171,-0.011825320613441711,1.9999999999999998
2025-06-25,0.0027407394063242883,0.0008258457893030118,1.9148936170212765
2025-06-26,-0.007303189168135546,-0.008920210444731291,1.6170212765957446
2025-06-27,0.00036691254354082026,-0.0012075555415655625,1.5744680851063828
2025-06-30,0.012816487273549355,0.010901593656528078,1.9148936170212765
2025-07-01,-0.007672125695922236,-0.009884891653369044,2.212765957446808
2025-07-02,-0.004180520418579343,-0.006435839567515513,2.25531914893617
2025-07-03,-0.001969153020175501,-0.003288301956345714,1.3191489361702127
2025-07-07,0.005836396682772172,0.0037087371083040868,2.127659574468085
2025-07-08,-0.011129113037431453,-0.013171666228920815,2.042553191489362
2025-07-09,-0.0015602779916507438,-0.0033049588427145737,1.7446808510638296
2025-07-10,-0.0019699309267069,-0.0036295053947920063,1.6595744680851063
2025-07-11,-0.0004164753559149528,-0.0023313689729362293,1.9148936170212765
2025-07-14,0.0067905181968718415,0.004918177771339927,1.872340425531915
2025-07-15,0.004821349567599951,0.002608583610153143,2.212765957446808
2025-07-16,-0.00846637723016295,-0.010423824038673589,1.9574468085106385
2025-07-17,0.0006815819264800748,-0.0012758648820305636,1.9574468085106382
2025-07-18,-0.001567017313952439,-0.0034393577394843536,1.8723404255319147
2025-07-21,0.011734498552656038,0.009819604935634762,1.9148936170212765
2025-07-22,0.016115313672421604,0.013817441331996073,2.2978723404255317
2025-07-23,0.002867704557695803,0.00022940668535537763,2.6382978723404253
2025-07-24,-0.0069841660312723675,-0.009196931988719176,2.2127659574468086
2025-07-25,-7.874653439355304e-06,-0.0018802150789712702,1.872340425531915
2025-07-28,0.0019055612932053444,0.00028854001660959987,1.6170212765957446
2025-07-29,0.00993339200114009,0.008103604767097537,1.8297872340425534
2025-07-30,-0.0012648773052670215,-0.0030946645393095744,1.829787234042553
2025-07-31,-0.0029444435934605512,-0.005157209550907359,2.212765957446808
2025-08-01,-0.007105996522636332,-0.00855280503327463,1.4468085106382977
2025-08-04,0.00030542813375235593,-0.0014392527173114735,1.7446808510638294
2025-08-05,-0.005220888686574441,-0.007050675920616994,1.8297872340425532
2025-08-06,-0.0017754105517288994,-0.003817963743218261,2.0425531914893615
2025-08-07,-0.00385779142813222,-0.005645025470685411,1.7872340425531912
2025-08-08,-0.00025274549818974203,-0.00195487315776421,1.7021276595744679
2025-08-11,0.003961808235196276,0.0024724465330686167,1.4893617021276595
2025-08-12,0.014432217441239157,0.01251732382421788,1.9148936170212763
2025-08-13,0.005042341284353554,0.0031700008588216393,1.872340425531915
2025-08-14,0.01615609672351522,0.01411354353202586,2.0425531914893615
2025-08-15,0.007359025217196408,0.005103706068260238,2.25531914893617
2025-08-18,-0.003283075979623468,-0.005410735554091554,2.127659574468085
2025-08-19,0.0012641806908427402,-0.0011187980325615152,2.382978723404255
2025-08-20,0.006805330172473406,0.004464904640558513,2.340425531914893
2025-08-21,0.0073343786334202805,0.00507905948448411,2.25531914893617
2025-08-22,0.005665667970575631,0.003410348821639461,2.25531914893617
2025-08-25,-0.0008332246700561846,-0.0033013097764391635,2.4680851063829787
2025-08-26,-0.0013429461885491344,-0.003385499380038496,2.0425531914893615
2025-08-27,-0.003989739563041169,-0.006287611903466701,2.2978723404255312
2025-08-28,-0.00031747651937234366,-0.002445136093840429,2.127659574468085
2025-08-29,-0.0016455489057215287,-0.0036029957142321672,1.9574468085106385
2025-09-02,0.0058276573291415005,0.0035297849887159687,2.2978723404255317
2025-09-03,-0.002336221021362283,-0.004506433787319729,2.1702127659574466
2025-09-04,0.00647641485897537,0.004178542518549837,2.297872340425532
2025-09-05,-0.003609231777366577,-0.0057794445433240246,2.170212765957447
2025-09-08,0.004967335857571093,0.002839676283103008,2.127659574468085
2025-09-09,0.011753106147962366,0.009625446573494281,2.127659574468085
2025-09-10,0.010301849485914956,0.008089083528468148,2.212765957446808
2025-09-11,-0.007068509000051331,-0.008855743042604523,1.7872340425531914
2025-09-12,-0.0025923413501933537,-0.00450723496721463,1.9148936170212763
2025-09-15,0.0022682705637131952,0.0001406109892451101,2.127659574468085
2025-09-16,-2.911263746159943e-05,-0.001986559445972238,1.9574468085106382
2025-09-17,-0.005580406182413384,-0.0076655125653921075,2.085106382978723
2025-09-18,0.0004857384269695451,-0.001514261573030455,2.0
2025-09-19,0.004344176668614926,0.001961197945210671,2.382978723404255
2025-09-22,-0.0025044345104803093,-0.0047172004679271184,2.2127659574468086
2025-09-23,0.007441562661660236,0.005484115853149597,1.9574468085106382
2025-09-24,-0.003096864828740821,-0.0054372903606557145,2.340425531914893
2025-09-25,-0.0031954496875999756,-0.0056635347939829545,2.4680851063829787
2025-09-26,0.002013716405193183,1.3716405193182814e-05,2.0
2025-09-29,0.0019809004461808885,0.000363879169585144,1.6170212765957446
2025-09-30,0.0050738239792445594,0.0033716963196700916,1.7021276595744679
2025-10-01,-7.931859154462252e-05,-0.0022495313575020695,2.170212765957447
